"","riskScore","Black_Prev","Asian_Prev","Hispanic_Prev","Native_Prev","Age_15_44_Prev","Age_45_54_Prev","Age_65_74_Prev","Age_75_84_Prev","Age_85_Prev","Male_Prev","Locationdesc","ARTHRITIS_CrudePrev","BPHIGH_CrudePrev","CASTHMA_CrudePrev","CHD_CrudePrev","COPD_CrudePrev","KIDNEY_CrudePrev","smoking_current_proportion","smoking_ex_proportion","STROKE_CrudePrev","DIABETES_unctrled_CrudePrev","DIABETES_ctrled_CrudePrev","obesity1","obesity2","obesity3","SDI_2","SDI_3","SDI_4","SDI_5","hemo_cat1","hemo_cat2","hemo_cat3","non_hemo_cat1","non_hemo_cat2","non_hemo_cat3","StateID"
"22",-0.129201987677995,0.314529859503466,0.01776156652364,0.0463323690618722,0.0058429764987911,0.494819854481408,0.151576433597524,0.116197119125178,0.0566078115782184,0.0197298672206975,0.482497370918511,"Louisiana",0.0619153296,0.39,0.121,0.065,0.099,0.038,0.205,0.226,0.025,0.0536048153383136,0.0873951846616864,0.197588525547086,0.0818444428472118,0.0885670316057025,0.0787857442609085,0.0815881855543902,0.197719778788317,0.641906291396384,8.86730950443183e-05,0.000312618522574058,0.000593803917608509,0.000961735008171216,0.00344970932213418,0.00747448768793124,22
"23",-0.449463457521894,0.0112876510643519,0.011487025335869,0.0142042891630611,0.00575749593132143,0.409473948624387,0.159059039208169,0.144504818942609,0.0681015525500513,0.0307151954238775,0.485774974990856,"Maine",0.0695487264,0.348,0.138,0.06,0.081,0.03,0.178,0.319,0.031,0.040298655502562,0.065701344497438,0.16322530371281,0.0676106266998706,0.0731640695873194,0.30859604243473,0.341247460687683,0.117929425927319,0,0.000112542399250181,0.000396770165324072,0.000753645934411311,0.00116813186321515,0.00419004751181718,0.00907857897996724,23
"24",-0.347120036650828,0.300366752036632,0.0646948259802411,0.0868597044321842,0.00278938168705937,0.479697479434665,0.166842586086447,0.110812402978159,0.0559867862715932,0.0220056436166599,0.478930937179023,"Maryland",0.0559782432,0.324,0.132,0.059,0.057,0.031,0.126,0.234,0.035,0.0456211194368626,0.0743788805631374,0.165909930418613,0.0687226435863816,0.0743674259950056,0.351035943113424,0,0.065625749299642,0.259883673285628,8.76640127386859e-05,0.000309060985540026,0.000587046546322726,0.000918677899123926,0.00329526500098273,0.00713985306538187,24
"25",-0.541437799808863,0.0720973478939158,0.0657832850456875,0.103879117450412,0.00207247604189882,0.481198329601162,0.159353801194871,0.113529365991994,0.0565905534276895,0.0265826856070758,0.480524463734535,"Massachusetts",0.0513133896,0.286,0.146,0.083,0.051,0.03,0.134,0.251,0.042,0.0326951355964182,0.0533048644035818,0.137989812678264,0.0571576679666669,0.0618525193550694,0.26822040609128,0.254127230640245,0.0824332131449809,0.18297580554481,9.13992749060624e-05,0.000322229716592082,0.000612059920527997,0.000971495554929973,0.00348472005675102,0.00755034547199437,25
"26",-0.408952938783743,0.135598588786363,0.031222870932285,0.0431044903624328,0.00528874528307418,0.463190573610459,0.157013920769923,0.122762073048583,0.0616706724248376,0.024851149529734,0.488688264430157,"Michigan",0.0680644548,0.347,0.147,0.068,0.086,0.035,0.189,0.264,0.032,0.0444805914509411,0.0725194085490589,0.177185362582985,0.073393114509728,0.0794215229072876,0.189893997023,0.21141901815562,0.146643057253971,0.215455149001002,9.59924431784398e-05,0.000338423010381218,0.000642818306857127,0.000966890798150616,0.00346820295770301,0.00751455786151873,26
"27",-0.699303334303902,0.054976907514682,0.045897785337557,0.044680503499571,0.00981981807028386,0.484058599384288,0.15240984476374,0.11281042224519,0.0580696800803153,0.0254958546281275,0.494798313520805,"Minnesota",0.046648536,0.266,0.163,0.101,0.044,0.024,0.151,0.259,0.046,0.0338356635823398,0.0551643364176602,0.161614527689328,0.066943416567964,0.0724420557427077,0.17606382968908,0.256435716828275,0.109709031141479,0.00101417726069172,9.44092462706282e-05,0.000332841422437135,0.000632216347765315,0.00099528580815034,0.0035700548502367,0.00773524043087346,27
"28",-0.0936556874416217,0.367569491090022,0.00986024926460834,0.026549902403999,0.00446520128780397,0.492895894470901,0.149797210002807,0.118432023909978,0.0598528283561141,0.0193085731564186,0.477757240090196,"Mississippi",0.0682764936,0.408,0.15,0.084,0.097,0.025,0.205,0.222,0.051,0.0547453433242352,0.0892546566757648,0.212085509758421,0.0878493340343713,0.0950651562072078,0.0899533847978017,0.0773864563912424,0.185528772479729,0.598015917239191,7.3481606426388e-05,0.000259060668017787,0.000492073336859934,0.000964523410556669,0.00345971122247183,0.00749615881264021,28
"29",-0.446686196077406,0.113427134867691,0.0198675946400769,0.0351718713924663,0.00472814552242952,0.473749214030292,0.151242253731499,0.119777166044181,0.0629671149471162,0.0250556703448309,0.485273959127166,"Missouri",0.0659440668,0.32,0.152,0.058,0.091,0.025,0.194,0.246,0.024,0.0437202394603267,0.0712797605396733,0.187923869406196,0.0778411820557721,0.0842349485380323,0.349784002773657,0.152882797106186,0.196208287624011,0.209328572506124,8.90694450927995e-05,0.000314015861490856,0.000596458095986007,0.000971025366569953,0.00348303350780049,0.00754669122516118,29
"30",-0.576964843156817,0.00456666869948594,0.00838717314956647,0.0323457419013078,0.0565004179237262,0.456786636493377,0.139029058439508,0.138988873312368,0.067087347540498,0.0238274841010415,0.499886907570763,"Montana",0.0606430968,0.29,0.148,0.061,0.06,0.02,0.18,0.264,0.035,0.0357365435588757,0.0582634564411243,0.14389599143103,0.0596041051169912,0.064499903451979,0.436709802611415,0.229316280000276,0.103547948702029,0.043838616180759,9.78785553803547e-05,0.0003450725314076,0.000655448753713487,0.00102375215855438,0.00367216263826731,0.00795647744918681,30
"31",-0.678089074303667,0.0454944108153227,0.0233648282921014,0.0897132522784505,0.00795987534636278,0.500621620103926,0.142878597332518,0.112866491411587,0.0582396658922534,0.0273930741595396,0.495202033063399,"Nebraska",0.0534337776,0.306,0.17,0.084,0.063,0.027,0.16,0.237,0.036,0.0368770715447973,0.0601229284552027,0.183091541335751,0.0758395516600522,0.0820689070041972,0.126760691464749,0.496058822113391,0.0621499814107999,0.0037157002511548,8.36845415328022e-05,0.000295031291320064,0.000560397813797004,0.000893747945747676,0.0032058421435098,0.00694610049529938,31
